temp,humidity,sealevelpressure,cloudcover,precipprob
29.9,63.8,1007.5,40.9,1
28.1,64.7,1009.1,27.9,1
28.9,72.4,1009.1,45.3,1
31.1,71.2,1007.4,43.1,1
29.1,74.0,1008.0,53.1,1
28.6,66.7,1006.9,52.1,1
25.3,84.5,1008.1,76.5,1
26.6,82.2,1008.3,66.3,1
28.6,74.2,1009.2,62.5,1
28.7,74.2,1009.9,59.9,1
28.3,81.4,1007.2,64.9,1
26.9,89.1,1005.4,74.1,1
27.1,84.7,1004.2,68.4,1
27.7,81.5,1003.6,63.2,1
32.5,76.5,1004.7,48.6,1
31.8,76.8,1004.1,51.7,1
31.7,79.3,1002.3,62.5,1
29.0,88.8,1000.9,87.1,1
27.8,90.4,996.6,90.0,1
27.1,91.6,992.1,95.4,1
28.1,91.4,997.3,95.1,1
27.6,91.5,1001.5,91.2,1
30.2,83.8,1002.6,80.9,1
31.2,73.0,1004.2,57.9,1
30.4,73.5,1003.4,61.1,1
30.3,77.5,1001.9,74.1,1
30.4,76.0,1001.0,77.0,1
29.4,79.1,999.9,78.6,1
29.5,81.4,998.1,70.7,1
28.7,87.6,996.3,75.3,1
29.2,87.5,997.2,82.3,1
29.6,90.7,997.0,80.2,1
30.0,91.3,995.7,83.9,1
28.4,92.6,995.1,93.2,1
27.7,94.0,996.6,99.4,1
26.2,95.6,998.7,100.0,1
27.6,93.0,1000.8,97.2,1
26.1,95.7,1002.3,97.6,1
27.7,96.0,1002.3,94.1,1
29.5,90.6,1001.9,83.2,1
29.0,89.0,1001.9,84.7,1
29.6,92.1,1002.5,66.7,1
31.3,81.8,1000.0,54.9,1
31.3,85.2,1002.2,62.5,1
30.3,89.7,1005.1,70.1,1
31.0,83.3,1004.7,62.3,1
30.9,86.0,1002.5,63.9,1
31.0,86.0,1000.4,79.8,1
28.0,92.2,999.5,94.0,1
28.7,88.8,1000.7,87.5,1
30.8,84.7,1001.4,75.2,1
29.7,87.2,1002.8,75.1,1
30.8,87.6,1001.1,67.3,1
29.7,86.4,1000.8,83.5,1
28.9,91.6,1000.9,85.1,1
31.0,81.4,1000.3,61.2,1
31.2,80.9,1000.7,69.4,1
31.4,79.8,1002.6,66.8,1
30.8,82.0,1003.7,66.7,1
30.3,82.2,1003.3,65.0,1
30.5,81.3,1003.6,68.4,1
31.6,77.3,1005.6,49.5,1
30.3,83.3,1004.4,78.5,1
30.6,84.9,1000.1,80.6,1
29.1,88.3,999.5,85.5,1
30.2,84.2,997.3,85.5,1
29.9,83.7,994.8,62.4,1
28.9,89.9,994.0,91.2,1
28.5,92.3,998.0,85.9,1
30.4,85.9,998.8,80.5,1
30.6,85.4,997.0,90.5,1
29.6,89.3,994.7,92.9,1
28.9,89.4,993.1,91.6,1
27.7,92.0,992.0,98.5,1
28.7,90.8,996.7,90.0,1
29.5,86.3,999.6,71.7,1
29.7,86.6,1000.3,87.9,1
28.7,91.3,1000.4,94.3,1
30.0,87.2,999.2,68.2,1
30.0,84.2,999.5,73.0,1
29.3,89.9,1001.9,88.2,1
28.8,90.9,1004.3,86.5,1
31.2,84.7,1001.3,86.5,1
30.1,90.3,1003.0,85.3,1
30.7,86.8,1000.6,81.3,1
30.5,87.0,1003.8,80.5,1
29.2,88.8,1003.9,81.7,1
28.8,90.1,1002.6,84.9,1
28.3,91.3,1003.3,89.1,1
28.0,91.9,1006.1,83.6,1
29.4,88.1,1007.7,71.8,1
31.8,79.6,1004.4,50.3,1
31.4,80.1,1003.0,68.6,1
30.9,83.3,1000.6,79.3,1
29.3,87.7,1000.3,93.2,1
28.4,91.8,1001.8,88.3,1
29.6,86.8,1001.3,78.0,1
29.3,88.9,1002.4,62.7,1
29.6,85.6,1005.4,64.7,1
30.3,85.1,1007.4,74.0,1
30.7,79.5,1005.4,56.0,1
31.1,80.0,1003.6,60.2,1
31.4,79.8,1002.2,63.3,1
31.6,79.8,1002.1,56.7,1
29.6,86.2,1003.0,75.2,1
27.4,91.8,1006.0,80.8,1
29.2,86.3,1005.6,69.5,1
30.0,83.5,1004.1,54.0,1
